mesaj_id,mesaj,etiket
1,Hesabınıza 2.750 TL maaş ödemesi yatırılmıştır. İyi günler dileriz.,normal
2,Kartınızdan 2.750 TL harcama yapılmıştır. Size,dolandiricilik
3,Hesabınıza 640 TL maaş ödemesi yatırılmıştır. İyi günler dileriz.,normal
4,"Toplantı notlarını mail attım, bakabilir misin? Detaylar için arayın.",normal
5,Randevunuz pazartesi saat 16:45 olarak onaylanmıştır.,normal
6,Faturanız 250 TL olarak kesilmiştir. Son ödeme pazar. Teşekkürler.,normal
7,Kartınız ile yapılan 1.890 TL işlem onaylanmadı.,normal
8,"Tebrikler, çekilişimizde hediye puan kazandınız. Puanınız kartınıza yüklendi.",normal
9,Kartınızdan 320 TL harcama yapılmıştır.,dolandiricilik
10,Doğum günün kutlu olsun Deniz! Nice mutlu yıllara.,normal
11,"Anneciğim bugün size uğrayacağız, bir şey lazım mı? İyi günler.",normal
12,Kartınızdan 2.750 TL harcama yapılmıştır. Size ait değilse iptal için: edevlet-iade.info/a599 Detaylar için arayın.,dolandiricilik
13,Kartınızdan 5.000 TL harcama yapılmıştır. Bilgi için müşteri hizmetlerimizi arayabilirsiniz. Teşekkürler.,normal
14,Siparişiniz kargo ile yola çıktı. Teslimat için onay verin: guvenli-odeme.net/a626,dolandiricilik
15,"Anneciğim cuma size uğrayacağız, bir şey lazım mı?",normal
16,"Can ben, yeni numaram bu. Acil para lazım, IBAN atıyorum.",dolandiricilik
17,E-devlet vergi iadeniz 89 TL hazır. Kart bilgilerinizi girerek alın: tinyurl.com/a649 Bilgilerinize.,dolandiricilik
18,"Can yola çıktım, 09:30 gibi oradayım. Bilgilerinize.",normal
19,"Tebrikler Merve, kazandın!",normal
20,"Merhaba Ayşe, akşam yemeğe geliyor musun?",normal
21,Randevunuz pazartesi saat,normal
22,Randevunuz cuma saat 11:00 olarak onaylanmıştır.,normal
23,Güvenliğiniz için hesabınıza erişim geçici olarak kısıtlanmıştır. Lütfen şubenize başvurunuz.,normal
24,Merhaba annecim telefonum bozuldu bu numaradan yazıyorum acil 89 TL lazım hemen gönder. Bilgilerinize.,dolandiricilik
25,E-devlet vergi iadeniz 250 TL hazır. Kart bilgilerinizi girerek alın: hesap-dogrula.com/a610,dolandiricilik
26,Siparişiniz kargo ile yola çıktı. Takip numaranız 926093.,normal
27,Kartınızdan 2.750 TL harcama yapılmıştır. Size ait değilse iptal için: hesap-dogrula.com/a766 Bilgilerinize.,dolandiricilik
28,Kartınızdan 1.200 TL harcama yapılmıştır.,dolandiricilik
29,Son uyarı! Hesap doğrulama yapmazsanız hesabınız kapatılacak. bit.ly/a710 Bilgilerinize.,dolandiricilik
30,Kartınızdan 2.750 TL harcama yapılmıştır. Size ait değilse iptal için: bit.ly/a703 Detaylar için arayın.,dolandiricilik
31,Randevunuz cuma saat 09:30,normal
32,Hesabınıza 640 TL maaş ödemesi yatırılmıştır. İyi günler dileriz.,normal
33,Kartınız askıya alındı. Şifre ve kart bilgilerinizi doğrulayın: edevlet-iade.info/a890 İyi günler.,dolandiricilik
34,"Tebrikler Elif, kazandın! Maç bileti bende, akşam konuşuruz.",normal
35,Acil dönüş yapar mısın,normal
36,"Tebrikler Selin, kazandın! Maç bileti bende, akşam konuşuruz.",normal
37,Güvenliğiniz için hesabınıza erişim geçici,normal
38,"Anneciğim pazar size uğrayacağız, bir şey lazım mı?",normal
39,Doğum günün kutlu olsun Deniz! Nice mutlu yıllara. Teşekkürler.,normal
40,Randevunuz pazartesi saat,normal
41,Merhaba annecim telefonum bozuldu bu numaradan yazıyorum acil 89 TL lazım hemen gönder. İyi günler.,dolandiricilik
42,Randevunuz cuma saat 18:00 olarak onaylanmıştır.,normal
43,Kartınız askıya alındı. Şifre ve kart bilgilerinizi doğrulayın: bit.ly/a657 Bilgilerinize.,dolandiricilik
44,"Elif yola çıktım, 11:00 gibi oradayım. Bilgilerinize.",normal
45,Doğum günün kutlu olsun Mehmet!,normal
46,Siparişiniz kargo ile yola çıktı. Takip numaranız 836476. Detaylar için arayın.,normal
47,"Merhaba Deniz, akşam yemeğe geliyor musun? Bilgilerinize.",normal
48,Siparişiniz kurye ile yola çıktı. Takip numaranız 921323.,normal
49,"Merhaba Can, akşam",normal
50,Siparişiniz kargo ile yola,normal
51,"Eczanemizde reçeteniz hazırdır, bugün teslim alabilirsiniz.",normal
52,Kargonuz dağıtıma çıktı. Teslimat saatini değiştirmek için uygulamayı kullanabilirsiniz.,normal
53,Doğum günün kutlu olsun Ayşe! Nice mutlu yıllara.,normal
54,"Tebrikler, çekilişimizde hediye puan kazandınız. Puanınızı kartınıza yüklemek için bilgilerinizi girin. Detaylar için arayın.",dolandiricilik
55,Siparişiniz kurye ile yola çıktı. Takip numaranız 852619.,normal
56,Tek kullanımlık şifreniz: 574095. Bu şifreyi kimseyle paylaşmayınız.,normal
57,Kartınız ile yapılan 250 TL işlem onaylanmadı. Size ait değilse şubemizi arayınız.,normal
58,Kredi kartı hesap özetiniz hazırlandı. Son ödeme tarihi pazartesi. Tutar: 640 TL. Detaylar için arayın.,normal
59,"Acil dönüş yapar mısın Can, toplantı saati değişti. Detaylar için arayın.",normal
60,Tek kullanımlık şifreniz: 133375. Bu şifreyi kimseyle paylaşmayınız. Detaylar için arayın.,normal
61,"Mehmet yola çıktım, 14:15 gibi oradayım.",normal
62,Faturanız 480 TL,normal
63,Acil dönüş yapar mısın,normal
64,Kargonuz dağıtıma çıktı. Teslimat saatini değiştirmek için uygulamayı kullanabilirsiniz.,normal
65,Kartınızdan 250 TL harcama yapılmıştır. Bilgi için müşteri hizmetlerimizi arayabilirsiniz.,normal
66,Otomatik ödeme talimatınız ile 2.750,normal
67,Paketiniz bugün teslim edilecektir. İyi günler. Detaylar için arayın.,normal
68,Kartınız ile yapılan 320 TL işlem onaylanmadı. Size ait değilse şubemizi arayınız.,normal
69,"Sayın müşterimiz, güvenlik nedeniyle bilgilerinizi hemen güncelleyiniz kargo-takip.xyz/a909",dolandiricilik
70,Tek kullanımlık şifreniz: 839696. Bu şifreyi kimseyle paylaşmayınız.,normal
71,"Tebrikler Ayşe, kazandın! Maç bileti bende, akşam konuşuruz. Detaylar için arayın.",normal
72,Doğum günün kutlu olsun Deniz! Nice mutlu yıllara.,normal
73,"Burak toplantı 14:15 da başlıyor, geç kalma. İyi günler.",normal
74,Kampanya: yarın yapacağınız alışverişlerde 640 TL puan kazanın. Detaylar mobil uygulamada. Bilgilerinize.,normal
75,Tek kullanımlık şifreniz: 658760. Bu şifreyi kimseyle paylaşmayınız. Bilgilerinize.,normal
76,Hesabınız bloke edilmiştir. Açmak için hemen tıklayın: guvenli-odeme.net/a713 Teşekkürler.,dolandiricilik
77,"Merhaba Zeynep, akşam yemeğe geliyor musun? Bilgilerinize.",normal
78,Kampanya: bugün yapacağınız alışverişlerde 640 TL puan kazanın. Detaylar mobil uygulamada. Teşekkürler.,normal
79,"Tebrikler Can, kazandın! Maç bileti bende, akşam konuşuruz. Detaylar için arayın.",normal
80,Zeynep toplantı 16:45,normal
81,Kampanya: pazar yapacağınız alışverişlerde 1.200 TL puan kazanın. Detaylar mobil uygulamada. Bilgilerinize.,normal
82,Paketiniz bugün teslim edilecektir. İyi günler.,normal
83,Kampanya detayları için,normal
84,Doğum günün kutlu olsun Zeynep! Nice mutlu yıllara.,normal
85,"Merhaba Deniz, akşam yemeğe geliyor musun?",normal
86,Siparişiniz kurye ile yola çıktı. Takip numaranız 993137.,normal
87,Randevunuz pazartesi saat 11:00 olarak onaylanmıştır.,normal
